tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Centrifuge	2	0.003559676042999993	0.0009370339834917621	2.717973646641676	0.006644603616999994	1.0	0.48497854077253216	0.653179190751445	113.0	120.0	0.0	233.0	0.48497854077253216	0.03122948916907637	0.005729089867023072	0.4900267228353162
Centrifuge	1	0.006615306459000001	0.0005101999125040476	3.007497507487743	0.004113273415000003	1.0	0.4977973568281938	0.6647058823529411	113.0	114.0	0.0	227.0	0.4977973568281938	0.053788214166093036	0.009914969537556191	0.2475592865930324
Centrifuge	9	0.006057702766999992	0.0005857530531320006	2.9858812751016997	0.004424799700999998	1.0	0.4808510638297872	0.6494252873563219	113.0	122.0	0.0	235.0	0.4808510638297872	0.04991771095993572	0.00914313198879545	0.27555620897654287
k2Mem	7	0.008981369517000008	4.116037422966712e-05	1.0490108054292004	0.0010616238990000006	1.0	0.6848484848484848	0.8129496402877697	113.0	52.0	0.0	165.0	0.6848484848484848	0.06526351204112342	0.012781866233143833	0.05592978408189221
k2Mem	6	0.009064669267000005	3.418114156842906e-05	1.0477691250646768	0.0009850418710000005	1.0	0.70625	0.8278388278388279	113.0	47.0	0.0	160.0	0.70625	0.06585253958107104	0.01297542546885895	0.051668447896709525
k2Mem	2	0.005466881626000017	0.0005504331220956192	1.34008892243087	0.004663442154000002	0.9911504424778761	0.5258215962441315	0.6871165644171779	112.0	101.0	1.0	213.0	0.5233644859813084	0.042503124106805776	0.007927776139240046	0.30151146591512223
k2Mem	4	0.007355233096000014	0.0002587394460793808	1.2567486729088464	0.0027361279039999986	0.9911504424778761	0.5384615384615384	0.6978193146417445	112.0	96.0	1.0	208.0	0.5358851674641149	0.05481566473664783	0.010269840499145488	0.15765434482609697
k2Mem	3	0.009106095213000008	3.148148139176176e-05	1.0729066853570763	0.0009436159250000005	1.0	0.738562091503268	0.849624060150376	113.0	40.0	0.0	153.0	0.738562091503268	0.06614876821086149	0.013149703712584804	0.04938821429412869
k2Mem	8	0.00882753369900002	5.6185667069857426e-05	1.1136137533422437	0.0012315822470000005	1.0	0.6726190476190477	0.804270462633452	113.0	55.0	0.0	168.0	0.6726190476190477	0.06428334014933665	0.012545626863837388	0.06541389150045342
k2Mem	5	0.009025482559000004	3.4946908474047956e-05	1.0017665921225818	0.001019302249000001	1.0	0.7533333333333333	0.8593155893536121	113.0	37.0	0.0	150.0	0.7533333333333333	0.06555835785575767	0.013083841470761467	0.053575631814729754
k2Mem	9	0.007902055618000014	0.0001800702799747617	1.2367222656438888	0.0021731828559999975	0.9911504424778761	0.5628140703517588	0.717948717948718	112.0	87.0	1.0	199.0	0.56	0.05832202105324243	0.011018073393549179	0.1213929227818156
k2Mem	0	0.00932039328899999	4.590508328738125e-05	2.9678391806834243	0.001356844309000002	1.0	0.44664031620553357	0.6174863387978141	113.0	140.0	0.0	253.0	0.44664031620553357	0.06773812033000916	0.012241704739563973	0.07022860708392072
k2Mem	1	0.00830601459600001	0.00012175860323561876	1.162584678405509	0.001753997043999998	1.0	0.6075268817204301	0.7558528428093646	113.0	73.0	0.0	186.0	0.6075268817204301	0.06083886580583374	0.011642138359264195	0.0958153416860254
