tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
mOTU	7	na	0.000921864743490143	0.9986419121015281	na	0.0	0.0	na	0.0	0.0	19.0	na	0.0	na	na	na
mOTU	1	na	0.000921864743490143	0.9986419121015281	na	0.0	0.0	na	0.0	0.0	19.0	na	0.0	na	na	na
mOTU	0	1.0000000000000002	0.10283481429700107	0.969791747827403	0.9929516186330001	0.21052631578947367	0.8	0.3333333333333333	4.0	1.0	15.0	5.0	0.2	1.3992353201869236	0.8693937861018397	0.9831813650850854
mOTU	9	na	0.000921864743490143	0.9986419121015281	na	0.0	0.0	na	0.0	0.0	19.0	na	0.0	na	na	na
Weight+GCN	9	0.007352546017000001	0.00030469313873176195	0.7493185308999104	0.0025744547440000004	1.0	0.8260869565217391	0.9047619047619047	19.0	4.0	0.0	23.0	0.8260869565217391	0.04758363008031722	0.015175799029888063	0.1490078670150254
Weight+GCN	8	0.008759236866000003	8.617561192385731e-05	0.5431898897957534	0.001167316047	1.0	0.9047619047619048	0.9500000000000001	19.0	2.0	0.0	21.0	0.9047619047619048	0.05516648732278175	0.018119914847477075	0.062476779478433185
Weight+GCN	7	0.008978234580000001	5.639423645742868e-05	0.37918999757970323	0.0009474226370000003	1.0	0.95	0.9743589743589743	19.0	1.0	0.0	20.0	0.95	0.056315254536741084	0.018798493788609292	0.0501202365983602
Weight+GCN	6	0.009067132428	4.1499949846619134e-05	0.30053299561203634	0.0008576290930000001	1.0	1.0	1.0	19.0	0.0	0.0	19.0	1.0	0.05680226804515033	0.019291372124556932	0.04515763911187793
Weight+GCN	5	0.009044292175	4.253195187219052e-05	0.30430653984452855	0.0008813650420000003	1.0	1.0	1.0	19.0	0.0	0.0	19.0	1.0	0.05668368373464586	0.019251098133027975	0.046463311039382706
Weight+GCN	4	0.006577320975000002	0.0004217830751375717	0.7402915577653992	0.003349231938	1.0	0.8636363636363636	0.9268292682926829	19.0	3.0	0.0	22.0	0.8636363636363636	0.04328264178641213	0.014002603471002788	0.2029581380902582
Weight+GCN	3	0.009095122933	3.5724117039142984e-05	0.24054539085873328	0.0008305342840000006	1.0	1.0	1.0	19.0	0.0	0.0	19.0	1.0	0.05695079769431862	0.0193418162499809	0.04366663141454228
Weight+GCN	2	0.004191410275000001	0.0007893941893267627	0.6689402064136016	0.005736038334000001	1.0	0.8260869565217391	0.9047619047619047	19.0	4.0	0.0	23.0	0.8260869565217391	0.029403998236321307	0.009377787427239102	0.4063451774953164
Weight+GCN	0	0.008984989762999997	4.5735205976001183e-05	2.1664688482246826	0.0009760885420000001	1.0	0.7307692307692307	0.8444444444444443	19.0	7.0	0.0	26.0	0.7307692307692307	0.05602598361430744	0.017195924970452192	0.05158382390574926
Weight+GCN	1	0.007965426128	0.00020830264501652373	0.6869866077507853	0.0019602310890000003	1.0	0.9047619047619048	0.9500000000000001	19.0	2.0	0.0	21.0	0.9047619047619048	0.05087654304538058	0.016710845160801017	0.10957018045082219
