tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
k2Mem	6	0.0004420260480000011	3.418114156842906e-05	1.0477691250646768	0.0008108289550000012	0.6767676767676768	0.32682926829268294	0.44078947368421056	67.0	138.0	32.0	205.0	0.28270042194092826	0.005303669753399171	0.0009963666749047936	0.5381185910322885
k2Mem	2	0.0002458685870000004	0.0005504331220956192	1.34008892243087	0.0009460790780000016	0.5858585858585859	0.29591836734693877	0.39322033898305087	58.0	138.0	41.0	196.0	0.24472573839662448	0.0031417806372663415	0.0005952467576224223	0.7218520431133725
k2Mem	4	0.0003242420020000007	0.0002587394460793808	1.2567486729088464	0.0008677056650000014	0.6161616161616161	0.3193717277486911	0.42068965517241375	61.0	130.0	38.0	191.0	0.2663755458515284	0.003989636459125825	0.0007596018207699459	0.6246977292125179
k2Mem	3	0.0004413542720000014	3.148148139176176e-05	1.0729066853570763	0.000811500729000001	0.6565656565656566	0.3140096618357488	0.42483660130718953	65.0	142.0	34.0	207.0	0.2697095435684647	0.005306978119745673	0.0009951730675256676	0.5388046412060258
k2Mem	8	0.00041425946400000107	5.6185667069857426e-05	1.1136137533422437	0.0008202337690000011	0.6767676767676768	0.32211538461538464	0.4364820846905537	67.0	141.0	32.0	208.0	0.2791666666666667	0.005010405377678814	0.0009387109380508983	0.554579867525682
k2Mem	5	0.00044628060600000096	3.4946908474047956e-05	1.0017665921225818	0.0008056786990000012	0.6868686868686869	0.3285024154589372	0.4444444444444444	68.0	139.0	31.0	207.0	0.2857142857142857	0.005375248841195082	0.0010079753029511745	0.5331950181697277
k2Mem	9	0.0003582784570000007	0.0001800702799747617	1.2367222656438888	0.0008547180680000017	0.6868686868686869	0.3253588516746411	0.44155844155844154	68.0	141.0	31.0	209.0	0.2833333333333333	0.004391274471939695	0.0008219767361663427	0.6006294258125293
k2Mem	0	0.0009104293540000061	4.590508328738125e-05	2.9678391806834243	0.001203019001000005	0.8585858585858586	0.18318965517241378	0.3019538188277087	85.0	379.0	14.0	464.0	0.17782426778242677	0.01080079868118246	0.0017591208090820222	0.6388963851812944
k2Mem	1	0.00036768326900000076	0.00012175860323561876	1.162584678405509	0.0008466568020000012	0.5959595959595959	0.3010204081632653	0.39999999999999997	59.0	137.0	40.0	196.0	0.25	0.0044749265738079635	0.0008478267075881129	0.591058307475127
Mash	9	0.027237	0.21099172477592368	0.7744170094847352	0.028196962376999993	0.050505050505050504	0.7142857142857143	0.09433962264150943	5.0	2.0	94.0	7.0	0.04950495049504951	0.15114053940759264	0.07767087266643184	0.996297175287473
Mash	7	0.03404800000000001	0.213152874974319	0.6686766784779208	0.034909435795000006	0.12121212121212122	0.75	0.20869565217391306	12.0	4.0	87.0	16.0	0.11650485436893204	0.2094827955450533	0.07555494757110126	0.9942094258389039
Mash	6	0.029599000000000007	0.21408638381155545	0.6111209394715426	0.030514177569000003	0.09090909090909091	0.6	0.15789473684210525	9.0	6.0	90.0	15.0	0.08571428571428572	0.1818892420732869	0.06716612638837187	0.9951218876709094
Mash	4	0.047871000000000004	0.21475142217404097	0.8008026711038597	0.04878976035299996	0.06060606060606061	0.75	0.11214953271028039	6.0	2.0	93.0	8.0	0.0594059405940594	0.2433013539026016	0.117003218905618	0.997016527801067
Mash	3	0.037444	0.21227229924706031	0.5509350877141664	0.038088229471	0.21212121212121213	0.8076923076923077	0.33599999999999997	21.0	5.0	78.0	26.0	0.20192307692307693	0.24343140506969502	0.07471583552816444	0.9890796439358803
Mash	2	0.09890100000000002	0.21219870331881396	0.8850118729053484	0.09989679022499998	0.030303030303030304	0.3333333333333333	0.05555555555555555	3.0	6.0	96.0	9.0	0.02857142857142857	0.4461286149550724	0.20304188272640358	0.9993100777225331
Mash	1	0.04347599999999999	0.21206211717958387	0.7674682054832299	0.044396999592999975	0.0707070707070707	0.5833333333333334	0.12612612612612611	7.0	5.0	92.0	12.0	0.0673076923076923	0.24435480884870034	0.09833560905378375	0.9967724116117574
Mash	0	0.03281200000000001	0.21257409456982088	0.37864091063787403	0.03345928478899999	0.21212121212121213	0.65625	0.3206106870229008	21.0	11.0	78.0	32.0	0.19090909090909092	0.21971611977408295	0.063396671280287	0.9903728132478061
Mash	8	0.03694600000000001	0.21373837538209675	0.7072654752278916	0.037857146930999994	0.0707070707070707	0.5	0.12389380530973451	7.0	7.0	92.0	14.0	0.0660377358490566	0.21789168302759584	0.08256420979659496	0.995958725825731
Mash	5	0.041729	0.21372061737646145	0.6197431644479011	0.04258147883499998	0.1111111111111111	0.5789473684210527	0.18644067796610167	11.0	8.0	88.0	19.0	0.102803738317757	0.2512425597844696	0.085327820193304	0.9950394637019792
SourMash	4	na	0.00045853141015680975	0.9981137668076779	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
SourMash	1	na	0.0004010487642594758	0.9960464552288929	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
SourMash	3	na	0.008047495256011856	0.9895405674866891	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
SourMash	0	na	0.023126042585013284	0.97459510679467	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
SourMash	5	na	0.0032154130438975725	0.9935480046347198	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
SourMash	6	na	0.004832746377230905	0.9935480046347198	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
SourMash	7	na	0.0013787047273634762	0.9981137668076779	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
SourMash	8	na	0.0008787047273634765	0.9981137668076779	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
SourMash	9	na	0.000921864743490143	0.9986419121015281	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
SourMash	2	na	0.0006475421137194762	0.997932688421215	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
mOTU	8	na	0.000921864743490143	0.9986419121015281	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
mOTU	2	na	0.000921864743490143	0.9986419121015281	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
mOTU	3	na	0.10295685997710137	0.9976524480612128	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
mOTU	4	na	0.000921864743490143	0.9986419121015281	na	0.0	0.0	na	0.0	0.0	99.0	na	0.0	na	na	na
