tool	sample	Sum of abundances	Weighted UniFrac error	Unweighted UniFrac error	L1 norm error	Completeness	Purity	F1 score	True positives	False positives	False negatives	Taxon counts	Jaccard index	Shannon diversity	Shannon equitability	Bray-Curtis distance
Kraken2	9	0.005373281349000023	0.00030548801569671414	1.0574201719243932	0.004892292517999995	0.9198813056379822	0.4725609756097561	0.6243705941591138	310.0	346.0	27.0	656.0	0.4538799414348463	0.048175371688679455	0.007427409411557641	0.31823346019985943
Kraken2	8	0.006869989661000048	8.45847700580958e-05	1.0847834873834599	0.0034358905299999914	0.9258160237388724	0.4785276073619632	0.6309403437815976	312.0	340.0	25.0	652.0	0.4608567208271787	0.05971924613050159	0.009215869668764408	0.20366879881063304
Kraken2	7	0.007182587635000048	5.462446861309568e-05	1.0168435234909012	0.003130010283999996	0.9287833827893175	0.5089430894308943	0.6575630252100839	313.0	302.0	24.0	615.0	0.48982785602503914	0.06199240230782623	0.009653698041165141	0.18216175297174106
Kraken2	6	0.007428680164000049	3.912165241976248e-05	1.0363116057307427	0.0028848134509999912	0.9495548961424333	0.5071315372424723	0.6611570247933884	320.0	311.0	17.0	631.0	0.49382716049382713	0.06387883659247047	0.009907834055710916	0.16552105059132813
Kraken2	5	0.007391732694000048	4.023468286728612e-05	1.0075449327765071	0.002923552308999992	0.9376854599406528	0.5096774193548387	0.6603970741901776	316.0	304.0	21.0	620.0	0.49297971918876754	0.06356396412165373	0.009885962263012872	0.16810011748724157
Kraken2	4	0.0047250212280000245	0.00042305627519723804	0.9859340896304273	0.0055459268110000124	0.8961424332344213	0.4682170542635659	0.615071283095723	302.0	343.0	35.0	645.0	0.4441176470588235	0.04313733018557906	0.006668057050379376	0.37663285678875025
Kraken2	3	0.007574902559000054	3.2810769064523666e-05	1.075647651647405	0.002743069535999989	0.9317507418397626	0.4868217054263566	0.6395112016293278	314.0	331.0	23.0	645.0	0.47005988023952094	0.0649400503003319	0.010038265196159048	0.15607879059058394
Kraken2	2	0.0028825742079999963	0.0007908094532383819	0.7477136159151287	0.007335079921000032	0.8753709198813057	0.5094991364421416	0.6441048034934498	295.0	284.0	42.0	579.0	0.4750402576489533	0.02788312278440394	0.004383241149545539	0.5693799859514367
Kraken2	1	0.005983922214000035	0.0002086905667476188	0.9972881356006504	0.004318375192999997	0.9228486646884273	0.48517940717628705	0.6359918200408997	311.0	330.0	26.0	641.0	0.4662668665667166	0.05296350956946883	0.008194842669756832	0.2701699329772633
Kraken2	0	0.008001455405999896	4.711147067428613e-05	2.9802707374949406	0.0044201513569999875	0.9406528189910979	0.2626346313173157	0.41062176165803105	317.0	890.0	20.0	1207.0	0.25835370823145887	0.07306671193052112	0.010297042198053228	0.24554411054953387
Centrifuge	0	0.007957537080999992	0.00027413827476604655	3.324304036273185	0.006071457596000001	0.9940652818991098	0.2555301296720061	0.40655339805825247	335.0	976.0	2.0	1311.0	0.25514089870525514	0.08135263475751921	0.011332746298191058	0.3381007967629154
Centrifuge	8	0.007159113260000084	0.00038030986853942827	3.024976961018837	0.006693994939000022	0.9970326409495549	0.25986078886310904	0.4122699386503067	336.0	957.0	1.0	1293.0	0.2596599690880989	0.07526917149178192	0.010505528131257538	0.39011310421236267
Centrifuge	7	0.007526608791999931	0.0003336364896973808	2.9896375737789715	0.006497029938999973	0.9970326409495549	0.26666666666666666	0.4207889793362555	336.0	924.0	1.0	1260.0	0.26645519429024583	0.07831113673615735	0.01096968702971423	0.37069521072075606
Centrifuge	6	0.007816443615000071	0.00030247414482990534	2.891348656741954	0.006219573946000011	0.9970326409495549	0.27053140096618356	0.4255858138062064	336.0	906.0	1.0	1242.0	0.27031375703942073	0.08085134720088248	0.011348388502568908	0.3490917761563096
Centrifuge	5	0.007844033664000055	0.0003009586587727613	2.8658079814688864	0.006332159969000027	0.9940652818991098	0.27059773828756056	0.42539682539682533	335.0	903.0	2.0	1238.0	0.2701612903225806	0.0812354016609637	0.011407459880733722	0.3548614673446775
Centrifuge	4	0.004993009743999952	0.0006826752247328097	2.9516466815862694	0.0076903219289999915	0.9940652818991098	0.25709900230237914	0.40853658536585363	335.0	968.0	2.0	1303.0	0.2567049808429119	0.054762769159617995	0.007635182297249102	0.5129271614453855
Centrifuge	3	0.008022684140000076	0.00027916028451423745	2.7829193500671723	0.006046170625000024	0.9970326409495549	0.27608874281018897	0.4324324324324324	336.0	881.0	1.0	1217.0	0.27586206896551724	0.08246718928733403	0.011608321594819152	0.3354755916693037
Centrifuge	2	0.0033005972309999693	0.0009370339834917621	2.717973646641676	0.00853889506599997	0.9881305637982196	0.2698541329011345	0.4239338001273074	333.0	901.0	4.0	1234.0	0.2689822294022617	0.03772296417085911	0.005299645728144651	0.6419933570155932
Centrifuge	1	0.006179367311000034	0.0005101999125040476	3.007497507487743	0.007179925754000012	0.9970326409495549	0.25986078886310904	0.4122699386503067	336.0	957.0	1.0	1293.0	0.2596599690880989	0.06618669233193049	0.00923786119107078	0.4437704896879556
Centrifuge	9	0.005661597251999972	0.0005857530531320006	2.9858812751016997	0.007398531902999993	0.9970326409495549	0.2559025133282559	0.40727272727272723	336.0	977.0	1.0	1313.0	0.2557077625570776	0.061349456673864024	0.008544409420503198	0.47239957613694855
k2Mem	7	0.007246853833000042	4.116037422966712e-05	1.0490108054292004	0.0030800752219999968	0.9287833827893175	0.5016025641025641	0.651404786680541	313.0	311.0	24.0	624.0	0.48302469135802467	0.06246872105559405	0.00970591385847628	0.17858765732015397
